datetime,temperature,city
2023-05-30,16.0,Moscow
2023-05-31,11.4,Moscow
2023-06-01,14.7,Moscow
2023-06-02,15.9,Moscow
2023-06-03,9.4,Moscow
2023-06-04,10.0,Moscow
2023-06-05,12.4,Moscow
2023-06-06,14.3,Moscow
2023-06-07,16.8,Moscow
2023-06-08,17.4,Moscow
2023-06-09,17.6,Moscow
2023-06-10,12.8,Moscow
2023-06-11,12.1,Moscow
2023-06-12,14.1,Moscow
2023-06-13,15.7,Moscow
2023-06-14,17.5,Moscow
2023-06-15,19.7,Moscow
2023-06-16,21.4,Moscow
2023-06-17,21.3,Moscow
2023-06-18,19.1,Moscow
2023-06-19,17.2,Moscow
2023-06-20,18.3,Moscow
2023-06-21,16.5,Moscow
2023-06-22,18.6,Moscow
2023-06-23,17.3,Moscow
2023-06-24,16.5,Moscow
2023-06-25,17.9,Moscow
2023-06-26,19.3,Moscow
2023-06-27,18.2,Moscow
2023-06-28,17.2,Moscow
2023-06-29,17.0,Moscow
2023-06-30,15.6,Moscow
2023-07-01,19.0,Moscow
2023-07-02,19.1,Moscow
2023-07-03,19.3,Moscow
2023-07-04,19.3,Moscow
2023-07-05,20.4,Moscow
2023-07-06,22.2,Moscow
2023-07-07,22.7,Moscow
2023-07-08,19.9,Moscow
2023-07-09,19.3,Moscow
2023-07-10,16.7,Moscow
2023-07-11,14.6,Moscow
2023-07-12,13.7,Moscow
2023-07-13,13.7,Moscow
2023-07-14,15.5,Moscow
2023-07-15,15.8,Moscow
2023-07-16,17.7,Moscow
2023-07-17,20.7,Moscow
2023-07-18,21.0,Moscow
2023-07-19,16.4,Moscow
2023-07-20,16.9,Moscow
2023-07-21,16.6,Moscow
2023-07-22,17.6,Moscow
2023-07-23,17.1,Moscow
2023-07-24,15.7,Moscow
2023-07-25,18.2,Moscow
2023-07-26,20.2,Moscow
2023-07-27,20.1,Moscow
2023-07-28,20.7,Moscow
2023-07-29,15.8,Moscow
2023-07-30,17.6,Moscow
2023-07-31,18.8,Moscow
2023-08-01,20.1,Moscow
2023-08-02,20.3,Moscow
2023-08-03,22.6,Moscow
2023-08-04,23.1,Moscow
2023-08-05,22.8,Moscow
2023-08-06,24.4,Moscow
2023-08-07,24.6,Moscow
2023-08-08,22.8,Moscow
2023-08-09,20.9,Moscow
2023-08-10,19.8,Moscow
